id,username,created at,,,lng,lat,text,,,,,,,,
1.51832E+18, 'ENGINEER__360', 'Sun Apr 24 20,3,54 +0000 2022',77.095086,28.6384895, 'Jo khud Trophy🏆 ho use trophy🏆 ki kya zarurat.. U are gem #MunawarFaruqi non cam match you in the history of realit… https,//t.co/cqedr6rPS0'},,,,,,,
1.51832E+18, 'MaaKala45432480', 'Sun Apr 24 20,3,58 +0000 2022',75.292416,28.1989565, '@Sonak43 Me hu 7697364295 call me teri ma ki chut'},,,,,,,,
1.51832E+18, 'imrankw', 'Sun Apr 24 20,4,01 +0000 2022',72.3554985,30.8641075, 'Hahaha. The fake letter tweet got deleted from their accounts. This is the positive impact of social media. Keep at… https,//t.co/v2GweQiqiK'},,,,,,,
1.51832E+18, 'ParthaM998', 'Sun Apr 24 20,4,01 +0000 2022',75.238201,19.840759, 'Happy Birthday sirA little tribute by a big fan of yours sirTried my best sir#pencilart#ArijitSingh… https,//t.co/DnvjWmCuJP'},,,,,,,
1.51832E+18, 'daniyalbm', 'Sun Apr 24 20,4,02 +0000 2022',72.3554985,30.8641075, 'Anything for you Khan Sb! #MarchAgainstlmportedGovt'},,,,,,,,
1.51832E+18, 'pramodsinghmd', 'Sun Apr 24 20,4,08 +0000 2022',78.420229,23.970895, '@drnarottammisra Congratulations 🎉🎉👏👏'},,,,,,,,
1.51832E+18, 'SauravP02058432', 'Sun Apr 24 20,4,08 +0000 2022',77.4233395,28.773568," ""@charts_zone https","//t.co/Qvq8EJlXgEF&amp;o analysis group jiska effect next trading day me pdta h It's useful for all of you ❤️""}",,,,,,,
1.51832E+18, 'abhifour', 'Sun Apr 24 20,4,25 +0000 2022',77.095086,28.6384895, '@Aryan_warlord I had read about this couple of years back, thought it was made up but could’ve happened'},,,,,,,
1.51832E+18, 'amjadmasood9', 'Sun Apr 24 20,4,28 +0000 2022',72.3554985,30.8641075, '@ImranRiazKhanl Great'},,,,,,,,
1.51832E+18, 'SauravP02058432', 'Sun Apr 24 20,4,33 +0000 2022',77.4233395,28.773568," ""@udaykotak https","//t.co/Qvq8EJlXgEF&amp;o analysis group jiska effect next trading day me pdta h It's useful for all of you ❤️""}",,,,,,,
1.51832E+18, 'BlackKn59506535', 'Sun Apr 24 20,4,36 +0000 2022',77.498726,28.545556, 'Sorry for your loss Zaffar Bhai'},,,,,,,,
1.51832E+18, 'ezahmaryam', 'Sun Apr 24 20,4,36 +0000 2022',72.3554985,30.8641075, '@ShawnMendes Love you too❤😹'},,,,,,,,
1.51832E+18, 'Niranjan_journo', 'Sun Apr 24 20,4,42 +0000 2022',77.095086,28.6384895, '@vinaysinghfbd Thank You☺️'},,,,,,,,
1.51832E+18, 'IntelligenceCls', 'Sun Apr 24 20,4,43 +0000 2022',78.088635,27.902649, 'DELETED TOPICS FOR SESSION 2022-23CLASS 12TH COMMERCE ACCOUNTANCY AND BUSINESS STUDIES #CBSESyllabus… https,//t.co/IbLxCJ7aKR'},,,,,,,
1.51832E+18, 'SauravP02058432', 'Sun Apr 24 20,4,46 +0000 2022',77.4233395,28.773568," ""@StocksCall_ https","//t.co/Qvq8EJlXgEF&amp;o analysis group jiska effect next trading day me pdta h It's useful for all of you ❤️""}",,,,,,,
1.51832E+18, 'manish_sisodiya', 'Sun Apr 24 20,4,51 +0000 2022',73.031286,26.173613," ""@ankidurg ma'amI have only the utmost respect for a person as great as you.I'm sending my very best wishes your w… https","//t.co/wSTWi2fG4r""}",,,,,,,
1.51832E+18, 'DhanaPr90189672', 'Sun Apr 24 20,5,08 +0000 2022',80.764796,15.893908, '@AphinSanseth @GangstarPuli @Yash65880 Compare salaar vs any result salaar&gt;&gt;&gt;&gt;&gt;&gt;any'},,,,,,,,
1.51832E+18, 'SauravP02058432', 'Sun Apr 24 20,5,08 +0000 2022',77.4233395,28.773568," ""@Investingcom https","//t.co/Qvq8EJlXgEF&amp;o analysis group jiska effect next trading day me pdta h It's useful for all of you ❤️""}",,,,,,,
1.51832E+18, 'pramodsinghmd', 'Sun Apr 24 20,5,26 +0000 2022',78.420229,23.970895, '@drnarottammisra Congratulations 👏👏'},,,,,,,,
1.51832E+18, 'Shahzaib_Live', 'Sun Apr 24 20,5,35 +0000 2022',72.3554985,30.8641075, '@ImranKhanPTI #MarchAgainstImportedGovt#امپورٹڈ_حکومت_نامنظورThanks to you Imran Khan. You always stand for Pakis… https,//t.co/3wrVtJHYQq'},,,,,,,
1.51832E+18, 'Mzeeshan24', 'Sun Apr 24 20,5,39 +0000 2022',72.3554985,30.8641075, '#IStandWithARYNews #WeStandWithAry  more power ✌️💪#MarchAgainstImportedGovt#امپورٹڈ_حکومت_نامنظور'},,,,,,,,
1.51832E+18, 'uzairch', 'Sun Apr 24 20,5,56 +0000 2022',72.3554985,30.8641075, 'I Love PAK ARMY but #BajwaHasToGo🇵🇰🇵🇰🇵🇰'},,,,,,,,
1.51832E+18, 'pramodsinghmd', 'Sun Apr 24 20,5,59 +0000 2022',78.420229,23.970895, '@iShankarLalwani @drnarottammisra Congratulations 👏👏'},,,,,,,,
1.51832E+18, 'Sumerlalpa', 'Sun Apr 24 20,6,15 +0000 2022',75.747521,26.909683, '@Apsararani4 Beautiful boobs and sexy body'},,,,,,,,
1.51832E+18, 'Shahzaib_Live', 'Sun Apr 24 20,6,19 +0000 2022',72.3554985,30.8641075, '@ShireenMazari1 #MarchAgainstImportedGovt#امپورٹڈ_حکومت_نامنظورThey will burn the evidence.'},,,,,,,,
1.51832E+18, 'Umairfridi22', 'Sun Apr 24 20,6,21 +0000 2022',72.3554985,30.8641075, '@ImranKhanPTI #MarchAgainstImportedGovt #CrimeMinisterShahbazSharif We refuse cherry blossom✌'},,,,,,,,
1.51832E+18, 'EEric1947', 'Sun Apr 24 20,6,29 +0000 2022',72.3554985,30.8641075, '@newtgingrich Sir, Why should people like you keep quiet and allow Joe Biden to lead the world into an avoidable nu… https,//t.co/qYmy31umdy'},,,,,,
1.51832E+18, 'HassanIhsan', 'Sun Apr 24 20,6,37 +0000 2022',72.3554985,30.8641075, 'Ferran Torres is a wasted player.#FCBarcelona'},,,,,,,,
1.51832E+18, 'Azharismail30', 'Sun Apr 24 20,6,38 +0000 2022',72.3554985,30.8641075, 'All these are wrong numbers...#امپورٹڈ_حکومت_نامنظور'},,,,,,,,
1.51832E+18, 'HamidChoudhary9', 'Sun Apr 24 20,6,44 +0000 2022',72.3554985,30.8641075, 'Day 2 of tweeting untill @realshoaibmalik bhai wish me birthday greetingsTill 30th april Inshallah i will get my… https,//t.co/AZ8CeYIKc7'},,,,,,,
1.51832E+18, 'pramodsinghmd', 'Sun Apr 24 20,6,51 +0000 2022',78.420229,23.970895, '@DrKPSinghYadav @drnarottammisra Congratulations 👏'},,,,,,,,
1.51832E+18, 'recklesswolf00', 'Sun Apr 24 20,7,12 +0000 2022',72.3554985,30.8641075," ""Above all don't plant me inside your heart I'd outgrow you.""}",,,,,,,,
1.51832E+18, 'abdulabkr50', 'Sun Apr 24 20,7,14 +0000 2022',77.550599,28.499759, 'Ya Allah, give me eyes that see the best in people, a heart that forgives the worst, and a soul that never loses faith.'},,,,,
1.51832E+18, 'zorayskhalid', 'Sun Apr 24 20,7,16 +0000 2022',72.3554985,30.8641075, '@momarnasir Just one last question is NFT and Fintech part of it. Yes or no. Please.'},,,,,,,,
1.51832E+18, 'pramodsinghmd', 'Sun Apr 24 20,7,33 +0000 2022',78.420229,23.970895, '@drnarottammisra Congratulations 👏👏'},,,,,,,,
1.51832E+18, 'saleemulhassan', 'Sun Apr 24 20,7,40 +0000 2022',72.3554985,30.8641075, '100% right'},,,,,,,,
1.51832E+18, 'naudibya', 'Sun Apr 24 20,8,01 +0000 2022',77.095086,28.6384895, 'Be the voice for soil🎤Action now, https,//t.co/6SvvEeoTCl@cpsavesoil @SadhguruJV #SaveSoil  #JourneyForSoil… https,//t.co/PiacXTHPMD'},,,,,
1.51832E+18, 'abhishekmann18', 'Sun Apr 24 20,8,01 +0000 2022',76.974691,28.368525," ""@Pretty_Paru 😞I know ... But that's what is required....""}",,,,,,,,
1.51832E+18, 'rakeshrky', 'Sun Apr 24 20,8,31 +0000 2022',77.4044755,23.272495," ""@Trakturistas @Caucasuswar He is under arrest you can't imagine his situation.""}",,,,,,,,
1.51832E+18, 'FirozHaider72', 'Sun Apr 24 20,8,53 +0000 2022',77.4206395,29.712605," 'The Night Of ""FORGiVENESS"" https",//t.co/bHx5oMNyp1'},,,,,,,
1.51832E+18, 'im_sanjusingh', 'Sun Apr 24 20,9,04 +0000 2022',78.824977,26.587479, '@RVCJ_FB Rajasthan RoyalsGujarat TitansSunrisers HyderabadDelhi Capitals'},,,,,,,,
1.51832E+18, 'ikunwar', 'Sun Apr 24 20,9,21 +0000 2022',72.3554985,30.8641075, 'I am touched beyond words after receiving such lovely gifts. Much love to you @Night_Fury_110  for Sher Dil… https,//t.co/BWbBkn98DD'},,,,,,,
1.51832E+18, 'GundaiyyaDhiraj', 'Sun Apr 24 20,9,32 +0000 2022',77.8422255,20.9816435, '@btwvedant As a MMH in farmiso'},,,,,,,,
1.51832E+18, 'MOHDATIFSHAMEEM', 'Sun Apr 24 20,9,32 +0000 2022',78.620388,29.120745," ""@taltol20 @sevecekse_insan ＲＥＴＷＥＥＴＩＦＹＯＵ  ＡＲＥＦＯＬＬＯＷＢＡＣＫ💯It's TIME to GainRT &amp; LIKE THIS @MOHDATIFSHAMEEM""}",,,,,,,,
1.51832E+18, 'TusharShewale8', 'Sun Apr 24 20,9,38 +0000 2022',74.552584,20.5805525, '@Raider_Shulky Too hot'},,,,,,,,
1.51832E+18, 'Khawar7Mr', 'Sun Apr 24 20,9,41 +0000 2022',72.3554985,30.8641075, '@sabine_kayani @AlphaMi08716393 @usmanswat7 @soldierspeaks When ur husband ws trying to become gorve arya part 2 an… https,//t.co/nV9iamJK7W'},,,,,,,
1.51832E+18, 'ButShafiq', 'Sun Apr 24 20,10,08 +0000 2022',72.3554985,30.8641075, '@TheRealMarkhor @alijavedadv CRISP LOUD AND CLEAR MESSAGE 👍👍👍👏👏👏💖💖'},,,,,,,,
1.51832E+18, 'raheel_liaqat', 'Sun Apr 24 20,10,15 +0000 2022',72.3554985,30.8641075, 'Look busy, do nothing!#MarchAgainstImportedGovt'},,,,,,,
1.51832E+18, 'MOHDSHOABKHAN2', 'Sun Apr 24 20,10,28 +0000 2022',77.095086,28.6384895, '@zoo_bear @JharkhandPolice Will you take action against the news channel@HemantSorenJMM For spreading fake news… https,//t.co/Yii7e0KvWy'},,,,,,,
1.51832E+18, 'Malikna56807375', 'Sun Apr 24 20,10,28 +0000 2022',72.3554985,30.8641075," ""@Aafreen_2022 What's app""}",,,,,,,,
1.51832E+18, 'harihar_goswami', 'Sun Apr 24 20,10,39 +0000 2022',76.974691,28.368525," ""Hahhaa. Word. It's between meftal and dolo.""}",,,,,,,,
1.51832E+18, 'EEric1947', 'Sun Apr 24 20,11,06 +0000 2022',72.3554985,30.8641075, '@newtgingrich Sir, God forbid. Do you mean you can sacrifice your life for Ukraine or rather for the hustility betw… https,//t.co/a4KMXpYCgU'},,,,,,
1.51832E+18, 'NewsVt241', 'Sun Apr 24 20,11,22 +0000 2022',77.095086,28.6384895, '@ItsYourDev @bangla_egiye Baby https,//t.co/mNdz49gF7Y'},,,,,,,
1.51832E+18, 'imadhuram', 'Sun Apr 24 20,11,32 +0000 2022',73.80915999,24.57470279, 'At the private concert night with @mikasingh 🔥 ! #RockingNight #MikaSinghLive #MikaPaaji 👍🏻😎#AmanBarbaraForever… https,//t.co/2bAJL37us9'},,,,,,,
1.51832E+18, 'KhadimNisar', 'Sun Apr 24 20,11,32 +0000 2022',78.00876,30.3206725, '24/4/2022 #Today  ,💐💐#meeting #with #chandan #daas #Cabinet #Minister #of #Uttarakhand.at his office Dehradun, Offi… https,//t.co/reTvLsFzmf'},,,,,
1.51832E+18, 'Shoaib44264', 'Sun Apr 24 20,11,36 +0000 2022',68.1303685,30.2369635, 'Mr Jinnah no one is public servent in your country, Rather public is the servent of all. And a servent whose job ha… https,//t.co/Bku8pDpRDV'},,,,,,
1.51832E+18, 'hize_kazan', 'Sun Apr 24 20,11,37 +0000 2022',75.747521,26.909683, '@Ra_jo5 Beautiful view'},,,,,,,,
1.51832E+18, 'Arzookazmi30', 'Sun Apr 24 20,11,38 +0000 2022',72.3554985,30.8641075," ""#ImranKhan's Future Challenges for New Government of #Pakistan Guest @qureshik74https","//t.co/pSZPq7KNDA""}",,,,,,,
1.51832E+18, 'MusaBinNaseer_3', 'Sun Apr 24 20,12,01 +0000 2022',72.3554985,30.8641075, '@zaini_k13 Sooo I gave up..wrote 900 (incoherent af) and now imma sleep🤘'},,,,,,,,
